,city,lat,lng,max_temp,humidity,cloudiness,wind_speed,country,date
347,Baykit,61.67,96.37,75.61,36,76,11.48,RU,1596595959
348,Terenos,-20.44,-54.86,68.0,37,0,10.29,BR,1596595960
349,Upernavik,72.79,-56.15,38.17,75,15,8.61,GL,1596595372
350,Ville-Marie,47.33,-79.43,55.4,93,90,8.05,CA,1596595702
351,Santa Lucía,27.91,-15.54,73.4,73,75,23.04,ES,1596595961
352,Edson,53.58,-116.44,77.0,31,1,5.82,CA,1596595961
353,Kawalu,-7.38,108.21,78.17,72,79,4.23,ID,1596595961
354,Nizwá,22.93,57.53,97.68,26,87,3.69,OM,1596595468
355,Hervey Bay,-25.3,152.85,75.0,65,0,5.01,AU,1596595962
356,Nhulunbuy,-12.23,136.77,82.4,54,20,11.41,AU,1596595449
357,Kodinsk,58.69,99.18,68.86,55,100,4.83,RU,1596595962
358,Marabu,4.41,114.01,86.0,66,40,6.93,MY,1596595783
359,Tocopilla,-22.09,-70.2,59.49,58,22,4.92,CL,1596595963
360,Xixiang,35.16,112.86,80.01,99,100,10.85,CN,1596595963
361,Kuching,1.55,110.33,73.4,94,40,2.24,MY,1596595964
362,Zambezi,-13.54,23.1,53.47,47,0,3.71,ZM,1596595964
363,Alice Springs,-23.7,133.88,80.6,21,40,17.22,AU,1596595232
364,Esil,51.96,66.4,73.18,58,97,14.12,KZ,1596595965
365,Beaverlodge,55.22,-119.44,71.6,40,20,13.87,CA,1596595965
366,Assiut,27.18,31.18,80.6,54,0,11.41,EG,1596595965
367,Darhan,49.49,105.92,71.44,68,20,5.08,MN,1596595532
368,Canindé de São Francisco,-9.66,-37.79,64.92,96,86,4.25,BR,1596595966
369,Chino Valley,34.76,-112.45,84.99,17,1,8.05,US,1596595966
370,Mogadishu,2.04,45.34,76.28,85,96,16.67,SO,1596595467
